web-scraper-order,web-scraper-start-url,books,books-href,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,places,awards
"1618238726-3983","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Giver (The Giver, #1)","https://www.goodreads.com/book/show/3636.The_Giver","The Giver","Lois Lowry","67,030
    reviews","1,884,450
  ratings","4.13","208 pages","Published
        January 24th 2006
         by Ember

            
              (first published April 26th 1993)","Other books in the series","Academic","null","Newbery Medal (1994), Mythopoeic Fantasy Award Nominee for Children's Literature (1994), Golden Duck Award for Young Adult (Hal Clement Award) (1994), Garden State Book Award for Teen Fiction Grades 6-8 (1996), Buckeye Children's Book Award for Grade 6-8 (1997)
                      ...more
                          Grand Canyon Reader Award for Teen Book (1995), Maryland Black-Eyed Susan Book Award for Grade 6-9 (1995), Golden Sower Award for Young Adult (1995), Pennsylvania Young Readers' Choice Award for Grades 3-8 (1995), Soaring Eagle Book Award Nominee (1996), Pacific Northwest Library Association Young Reader's Choice Award for Senior (1996), Boston Globe-Horn Book Award Nominee for Fiction (1993), New Mexico Land of Enchantment Award (1997), Eliot Rosewater Indiana High School Book Award (1997), William Allen White Children's Book Award (1996), Wyoming Indian Paintbrush Nominee (1996), NSK Neustadt Prize for Children's Literature Nominee (2013), Oklahoma Sequoyah Award for YA (1996), Rebecca Caudill Young Readers' Book Award (1996), Hea Lasteraamat (2010), Premi Protagonista Jove for Categoria 13-14 anys (2016), Margaret A. Edwards Award (2007)
...less"
"1618238532-3249","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Darkest Minds (The Darkest Minds, #1)","https://www.goodreads.com/book/show/10576365-the-darkest-minds","The Darkest Minds","Alexandra Bracken","16,969
    reviews","159,311
  ratings","4.17","488 pages","Published
        December 18th 2012
         by Disney Hyperion","Other books in the series","Fiction","null","Lincoln Award Nominee (2016), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2013)"
"1618238661-3726","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Wool Omnibus (Silo, #1)","https://www.goodreads.com/book/show/13453029-wool-omnibus","Wool Omnibus","Hugh Howey","13,760
    reviews","167,105
  ratings","4.20","509 pages","Published
        January 25th 2012
         by Broad Reach Publishing","Other books in the series","Science Fiction","null","Tähtivaeltaja Award Nominee (2014), Prix des libraires du Québec (2015), Bookworm Best Award for People's Pick (2013), Goodreads Choice Award Nominee for Science Fiction and for Goodreads Author (2012)"
"1618238532-3244","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Darkest Minds (The Darkest Minds, #1)","https://www.goodreads.com/book/show/10576365-the-darkest-minds","The Darkest Minds","Alexandra Bracken","16,969
    reviews","159,311
  ratings","4.17","488 pages","Published
        December 18th 2012
         by Disney Hyperion","Other books in the series","Young Adult","null","Lincoln Award Nominee (2016), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2013)"
"1618238671-3771","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Do Androids Dream of Electric Sheep? (Blade Runner, #1)","https://www.goodreads.com/book/show/7082.Do_Androids_Dream_of_Electric_Sheep_","Do Androids Dream of Electric Sheep?","Philip K. Dick","14,006
    reviews","368,427
  ratings","4.08","244 pages","Published
        June 1996
         by Del Rey / Ballantine Books

            
              (first published 1968)","Other books in the series","Novels","San Francisco, California

(United States)


    

    California

(United States)


    

    United States of America","Nebula Award Nominee for Best Novel (1968)"
"1618238726-3982","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Giver (The Giver, #1)","https://www.goodreads.com/book/show/3636.The_Giver","The Giver","Lois Lowry","67,030
    reviews","1,884,450
  ratings","4.13","208 pages","Published
        January 24th 2006
         by Ember

            
              (first published April 26th 1993)","Other books in the series","Childrens","null","Newbery Medal (1994), Mythopoeic Fantasy Award Nominee for Children's Literature (1994), Golden Duck Award for Young Adult (Hal Clement Award) (1994), Garden State Book Award for Teen Fiction Grades 6-8 (1996), Buckeye Children's Book Award for Grade 6-8 (1997)
                      ...more
                          Grand Canyon Reader Award for Teen Book (1995), Maryland Black-Eyed Susan Book Award for Grade 6-9 (1995), Golden Sower Award for Young Adult (1995), Pennsylvania Young Readers' Choice Award for Grades 3-8 (1995), Soaring Eagle Book Award Nominee (1996), Pacific Northwest Library Association Young Reader's Choice Award for Senior (1996), Boston Globe-Horn Book Award Nominee for Fiction (1993), New Mexico Land of Enchantment Award (1997), Eliot Rosewater Indiana High School Book Award (1997), William Allen White Children's Book Award (1996), Wyoming Indian Paintbrush Nominee (1996), NSK Neustadt Prize for Children's Literature Nominee (2013), Oklahoma Sequoyah Award for YA (1996), Rebecca Caudill Young Readers' Book Award (1996), Hea Lasteraamat (2010), Premi Protagonista Jove for Categoria 13-14 anys (2016), Margaret A. Edwards Award (2007)
...less"
"1618238713-3927","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Animal Farm","https://www.goodreads.com/book/show/170448.Animal_Farm","Animal Farm","George Orwell","60,944
    reviews","2,908,184
  ratings","3.96","141 pages","Published
        April 1996
         by Signet Classics

            
              (first published August 17th 1945)","null","Fantasy","null","Prometheus Hall of Fame Award (2011), Retro Hugo Award for Best Novella (1996)"
"1618238693-3847","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Matched (Matched, #1)","https://www.goodreads.com/book/show/7735333-matched","Matched","Ally Condie","33,507
    reviews","680,703
  ratings","3.65","369 pages","Published
        November 30th 2010
         by Dutton Books for Young Readers","Other books in the series","Science Fiction","null","South Carolina Book Award for Young Adult (2013), Teen Buckeye Book Award (2012), Pennsylvania Young Readers' Choice Award for Young Adults (2012), Rhode Island Teen Book Award (2012), California Young Readers Medal for Young Adult (2013)
                      ...more
                          Lincoln Award Nominee (2013), Literaturpreis der Jury der jungen Leser for Jugendbuch (2011), Carnegie Medal Nominee (2012), Missouri Gateway Readers Award Nominee (2013)
...less"
"1618238517-3188","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Cell","https://www.goodreads.com/book/show/10567.Cell","Cell","Stephen King","6,225
    reviews","199,891
  ratings","3.66","449 pages","Published
        December 2006
         by Pocket Star Books

            
              (first published 2006)","null","Science Fiction","null","null"
"1618238512-3173","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Shades of Grey (Shades of Grey, #1)","https://www.goodreads.com/book/show/2113260.Shades_of_Grey","Shades of Grey","Jasper Fforde","4,258
    reviews","32,986
  ratings","4.15","400 pages","Published
        December 29th 2009
         by Penguin Group Viking Adult

            
              (first published November 6th 2009)","Other books in the series","Adult Fiction","null","Locus Award Nominee for Best Fantasy Novel (2011), Warwick Prize for Writing Nominee for Longlist (2011), Prix Julia Verlanger (2012)"
"1618238677-3784","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","World War Z: An Oral History of the Zombie War","https://www.goodreads.com/book/show/8908.World_War_Z","World War Z: An Oral History of the Zombie War","Max Brooks","26,240
    reviews","459,144
  ratings","4.01","342 pages","Published
        September 12th 2006
         by Crown","Other books in the series","Horror","null","Audie Award for Multi-Voiced Performance (2014), Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2009), Lincoln Award Nominee (2012), Seiun Award 星雲賞 Nominee for Best Translated Long Form (2011)"
"1618238690-3842","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","V for Vendetta","https://www.goodreads.com/book/show/5805.V_for_Vendetta","V for Vendetta","Alan Moore","5,782
    reviews","275,157
  ratings","4.25","296 pages","Published
        November 1st 2005
         by Vertigo

            
              (first published 1990)","Other books in the series","Politics","United Kingdom","Prometheus Hall of Fame Award (2006), Harvey Awards Nominee for Best Continuing or Limited Series & Best Writer (for Alan Moore) (1989)"
"1618238485-3079","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Player Piano","https://www.goodreads.com/book/show/9597.Player_Piano","Player Piano","Kurt Vonnegut Jr.","2,040
    reviews","47,695
  ratings","3.88","341 pages","Published
        September 2006
         by Dial Press

            
              (first published 1952)","null","Novels","null","International Fantasy Award Nominee for Fiction (1953)"
"1618238550-3315","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Alas, Babylon","https://www.goodreads.com/book/show/38169.Alas_Babylon","Alas, Babylon","Pat Frank","3,319
    reviews","40,736
  ratings","4.08","323 pages","Published
        July 5th 2005
         by Harper Perennial Modern Classics

            
              (first published 1959)","null","Science Fiction","null","Audie Award for Fiction (2012)"
"1618238629-3621","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Knife of Never Letting Go (Chaos Walking, #1)","https://www.goodreads.com/book/show/20758104-the-knife-of-never-letting-go","The Knife of Never Letting Go","Patrick Ness","17,884
    reviews","166,899
  ratings","3.97","512 pages","Published
        July 22nd 2014
         by Candlewick Press

            
              (first published May 5th 2008)","Other books in the series","Audiobook","New World","Guardian Children's Fiction Prize (2008), Manchester Book Award  Nominee for Longlist (2009), Odyssey Award Nominee (2011), James Tiptree Jr. Award (2008), Milwaukee County Teen Book Award Nominee (2010)
                      ...more
                          Dioraphte Jongerenliteratuurprijs Nominee (2014), Carnegie Medal Nominee (2009), Green Mountain Book Award (2012)
...less"
"1618238576-3409","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)","https://www.goodreads.com/book/show/3432478-the-forest-of-hands-and-teeth","The Forest of Hands and Teeth","Carrie Ryan","8,814
    reviews","83,501
  ratings","3.59","310 pages","Published
        July 2009
         by Gollancz

            
              (first published March 10th 2009)","Other books in the series","Fiction","null","Georgia Peach Book Award Nominee for Honor book (2010), Goodreads Choice Award Nominee for Young Adult Series (2009)"
"1618238726-3974","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Giver (The Giver, #1)","https://www.goodreads.com/book/show/3636.The_Giver","The Giver","Lois Lowry","67,030
    reviews","1,884,450
  ratings","4.13","208 pages","Published
        January 24th 2006
         by Ember

            
              (first published April 26th 1993)","Other books in the series","Young Adult","null","Newbery Medal (1994), Mythopoeic Fantasy Award Nominee for Children's Literature (1994), Golden Duck Award for Young Adult (Hal Clement Award) (1994), Garden State Book Award for Teen Fiction Grades 6-8 (1996), Buckeye Children's Book Award for Grade 6-8 (1997)
                      ...more
                          Grand Canyon Reader Award for Teen Book (1995), Maryland Black-Eyed Susan Book Award for Grade 6-9 (1995), Golden Sower Award for Young Adult (1995), Pennsylvania Young Readers' Choice Award for Grades 3-8 (1995), Soaring Eagle Book Award Nominee (1996), Pacific Northwest Library Association Young Reader's Choice Award for Senior (1996), Boston Globe-Horn Book Award Nominee for Fiction (1993), New Mexico Land of Enchantment Award (1997), Eliot Rosewater Indiana High School Book Award (1997), William Allen White Children's Book Award (1996), Wyoming Indian Paintbrush Nominee (1996), NSK Neustadt Prize for Children's Literature Nominee (2013), Oklahoma Sequoyah Award for YA (1996), Rebecca Caudill Young Readers' Book Award (1996), Hea Lasteraamat (2010), Premi Protagonista Jove for Categoria 13-14 anys (2016), Margaret A. Edwards Award (2007)
...less"
"1618238477-3045","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Gate to Women's Country","https://www.goodreads.com/book/show/104344.The_Gate_to_Women_s_Country","The Gate to Women's Country","Sheri S. Tepper","784
    reviews","12,470
  ratings","4.06","315 pages","Published
        1999
         by Voyager

            
              (first published November 1st 1987)","null","Fantasy","null","Locus Award for Best Fantasy Novel (1992), Arthur C. Clarke Award Nominee (1998)"
"1618238649-3685","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Battle Royale","https://www.goodreads.com/book/show/57891.Battle_Royale","Battle Royale","Koushun Takami","5,209
    reviews","66,848
  ratings","4.16","617 pages","Published
        February 26th 2003
         by VIZ, LLC

            
              (first published April 21st 1999)","null","Science Fiction","null","null"
"1618238512-3167","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Shades of Grey (Shades of Grey, #1)","https://www.goodreads.com/book/show/2113260.Shades_of_Grey","Shades of Grey","Jasper Fforde","4,258
    reviews","32,986
  ratings","4.15","400 pages","Published
        December 29th 2009
         by Penguin Group Viking Adult

            
              (first published November 6th 2009)","Other books in the series","Science Fiction","null","Locus Award Nominee for Best Fantasy Novel (2011), Warwick Prize for Writing Nominee for Longlist (2011), Prix Julia Verlanger (2012)"
"1618238634-3641","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Passage (The Passage, #1)","https://www.goodreads.com/book/show/6690798-the-passage","The Passage","Justin Cronin","19,639
    reviews","197,293
  ratings","4.03","766 pages","Published
        June 8th 2010
         by Ballantine Books","Other books in the series","Thriller","null","Locus Award Nominee for Best SF Novel (2011), Goodreads Choice Award Nominee for Favorite Book and for Science Fiction (2010)"
"1618238627-3611","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Shatter Me (Shatter Me, #1)","https://www.goodreads.com/book/show/10429045-shatter-me","Shatter Me","Tahereh Mafi","30,646
    reviews","316,820
  ratings","3.94","338 pages","Published
        November 15th 2011
         by Harper","Other books in the series","Young Adult","null","Arab American Book Award Nominee for Children's/Young Adult (2013)"
"1618238558-3346","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Feed","https://www.goodreads.com/book/show/169756.Feed","Feed","M.T. Anderson","6,715
    reviews","59,513
  ratings","3.55","308 pages","Published
        February 23rd 2004
         by Candlewick Press

            
              (first published September 23rd 2002)","null","Science Fiction","null","Golden Duck Award for Young Adult (Hal Clement Award) (2003), Los Angeles Times Book Prize for Young Adult Literature (2002), Boston Globe-Horn Book Award Nominee for Fiction (2003), National Book Award Finalist for Young People's Literature (2002), Margaret A. Edwards Award (2019)"
"1618238599-3496","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Wither (The Chemical Garden, #1)","https://www.goodreads.com/book/show/8525590-wither","Wither","Lauren DeStefano","8,122
    reviews","99,221
  ratings","3.79","358 pages","Published
        March 22nd 2011
         by Simon  Schuster Books for Young Readers","Other books in the series","Fantasy","Florida

(United States)","Rhode Island Teen Book Award Nominee (2013), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2011)"
"1618238467-3004","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Coilhunter (The Coilhunter Chronicles, #1)","https://www.goodreads.com/book/show/33977027-coilhunter","Coilhunter","Dean F. Wilson","129
    reviews","914
  ratings","4.14","210 pages","Published
        April 17th 2017
         by Dioscuri Press

            
              (first published April 16th 2017)","Other books in the series","Science Fiction","null","null"
"1618238719-3953","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Fahrenheit 451","https://www.goodreads.com/book/show/13079982-fahrenheit-451","Fahrenheit 451","Ray Bradbury","51,177
    reviews","1,784,371
  ratings","3.99","194 pages","Published
        November 29th 2011
         by Simon & Schuster

            
              (first published October 19th 1953)","null","Science Fiction Fantasy","null","Prometheus Hall of Fame Award (1984), Geffen Award for Best Translated SF Book (2002), California Book Award for Fiction (Silver) (1953), Retro Hugo Award for Best Novel (2004)"
"1618238643-3666","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Anthem","https://www.goodreads.com/book/show/667.Anthem","Anthem","Ayn Rand","9,500
    reviews","135,378
  ratings","3.63","105 pages","Published
        December 1st 1999
         by NAL

            
              (first published May 1938)","null","Science Fiction","null","Prometheus Hall of Fame Award (1987), Retro Hugo Award Nominee for Best Novella (2014)"
"1618238530-3239","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Running Man","https://www.goodreads.com/book/show/11607.The_Running_Man","The Running Man","Richard Bachman","3,499
    reviews","107,917
  ratings","3.88","317 pages","Published
        August 1999
         by Signet

            
              (first published May 1st 1982)","null","Fantasy","null","null"
"1618238612-3553","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","A Canticle for Leibowitz (St. Leibowitz, #1)","https://www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz","A Canticle for Leibowitz","Walter M. Miller Jr.","4,975
    reviews","97,628
  ratings","3.97","334 pages","Published
        May 9th 2006
         by HarperCollins EOS

            
              (first published October 1959)","Other books in the series","Speculative Fiction","null","Hugo Award for Best Novel (1961), Locus Award for All-Time Best Novel (1975)"
"1618238640-3654","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Gunslinger","https://www.goodreads.com/book/show/43615.The_Gunslinger","The Gunslinger","Stephen King","19,698
    reviews","533,647
  ratings","3.94","231 pages","Published
        July 2003
         by Plume

            
              (first published June 1st 1982)","Other books in the series","Fantasy","null","null"
"1618238701-3881","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Stand","https://www.goodreads.com/book/show/149267.The_Stand","The Stand","Stephen King","22,435
    reviews","646,087
  ratings","4.34","1152 pages","Published
        May 1st 1990
         by Doubleday Books

            
              (first published October 3rd 1978)","null","Science Fiction","null","Locus Award Nominee for Best SF Novel (1979), World Fantasy Award Nominee for Best Novel (1979), Gandalf Award Nominee (1979), Balrog Award Nominee for Best Novel (1979) (1980)"
"1618238677-3787","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","World War Z: An Oral History of the Zombie War","https://www.goodreads.com/book/show/8908.World_War_Z","World War Z: An Oral History of the Zombie War","Max Brooks","26,240
    reviews","459,144
  ratings","4.01","342 pages","Published
        September 12th 2006
         by Crown","Other books in the series","Science Fiction","null","Audie Award for Multi-Voiced Performance (2014), Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2009), Lincoln Award Nominee (2012), Seiun Award 星雲賞 Nominee for Best Translated Long Form (2011)"
"1618238522-3208","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Diamond Age: Or, a Young Lady's Illustrated Primer","https://www.goodreads.com/book/show/827.The_Diamond_Age","The Diamond Age: Or, a Young Lady's Illustrated Primer","Neal Stephenson","3,532
    reviews","86,442
  ratings","4.16","499 pages","Published
        May 2nd 2000
         by Spectra

            
              (first published February 1995)","null","Fantasy","null","Hugo Award for Best Novel (1996), Nebula Award Nominee for Best Novel (1996), Locus Award for Best Science Fiction Novel (1996), Arthur C. Clarke Award Nominee (1996), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1996)
                      ...more
                          Prometheus Award Nominee for Best Novel (1996)
...less"
"1618238467-3012","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Coilhunter (The Coilhunter Chronicles, #1)","https://www.goodreads.com/book/show/33977027-coilhunter","Coilhunter","Dean F. Wilson","129
    reviews","914
  ratings","4.14","210 pages","Published
        April 17th 2017
         by Dioscuri Press

            
              (first published April 16th 2017)","Other books in the series","Audiobook","null","null"
"1618238606-3526","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Children of Men","https://www.goodreads.com/book/show/41913.The_Children_of_Men","The Children of Men","P.D. James","3,154
    reviews","41,426
  ratings","3.69","241 pages","Published
        December 5th 2006
         by Vintage

            
              (first published 1992)","null","Science Fiction","null","null"
"1618238716-3941","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Handmaid's Tale (The Handmaid's Tale, #1)","https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale","The Handmaid's Tale","Margaret Atwood","74,539
    reviews","1,557,482
  ratings","4.12","314 pages","Published
        April 1998
         by Anchor Books

            
              (first published August 1985)","Other books in the series","Audiobook","null","Booker Prize Nominee (1986), Nebula Award Nominee for Best Novel (1986), Locus Award Nominee for Best SF Novel (1987), Arthur C. Clarke Award (1987), Audie Award for Fiction (2013)
                      ...more
                          Los Angeles Times Book Prize for Fiction (1986), Prometheus Award Nominee for Best Novel (1987), James Tiptree Jr. Award Nominee for Retrospective (1995), Governor General's Literary Awards / Prix littéraires du Gouverneur général for Fiction (1985), SF Chronicle Award Nominee for Novel (1987), Commonwealth Writers' Prize Nominee for Best Book in Caribbean and Canada (1987), CBC Canada Reads Nominee (2002), Metų verstinė knyga Nominee (2012)
...less"
"1618238514-3174","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","A Scanner Darkly","https://www.goodreads.com/book/show/14817.A_Scanner_Darkly","A Scanner Darkly","Philip K. Dick","3,246
    reviews","93,384
  ratings","4.01","219 pages","Published
        August 17th 2006
         by Gollancz

            
              (first published January 1977)","null","Science Fiction","null","Locus Award Nominee for Best SF Novel (1978), British Science Fiction Association Award for Novel (1978), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1978), Graoully d'Or for Roman étranger (1979), Tähtivaeltaja Award (1991)"
"1618238555-3342","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Enclave (Razorland, #1)","https://www.goodreads.com/book/show/7137327-enclave","Enclave","Ann Aguirre","5,082
    reviews","68,050
  ratings","3.90","259 pages","Published
        April 12th 2011
         by Feiwel & Friends","Other books in the series","Horror","null","RITA Award by Romance Writers of America for Best Young Adult Romance (2012), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2013)"
"1618238480-3060","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Stranger in a Strange Land","https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land","Stranger in a Strange Land","Robert A. Heinlein","8,309
    reviews","282,233
  ratings","3.92","525 pages","Published
        October 1st 1991
         by Ace

            
              (first published July 1961)","null","Speculative Fiction","null","Hugo Award for Best Novel (1962), Prometheus Hall of Fame Award (1987)"
"1618238604-3518","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Neuromancer (Sprawl, #1)","https://www.goodreads.com/book/show/6088007-neuromancer","Neuromancer","William Gibson","10,123
    reviews","272,505
  ratings","3.90","292 pages","Published
        July 1st 2000
         by Ace

            
              (first published July 1984)","Other books in the series","Science Fiction Fantasy","Chiba, Tokyo

(Japan)","Hugo Award for Best Novel (1985), Nebula Award for Best Novel (1984), Locus Award Nominee for Best First Novel and Best SF Novel (1985), British Science Fiction Association Award Nominee for Best Novel (1984), Philip K. Dick Award (1985)
                      ...more
                          John W. Campbell Memorial Award Nominee (1985), Ditmar Award for Best International Long Fiction (1985), SF Chronicle Award for Novel (1985), Tähtivaeltaja Award (1992), Prix Aurora Award Nominee (1985), Seiun Award 星雲賞 for Best Translated Long Story (1987)
...less"
"1618238683-3804","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Oryx and Crake (MaddAddam, #1)","https://www.goodreads.com/book/show/46756.Oryx_and_Crake","Oryx and Crake","Margaret Atwood","13,951
    reviews","231,236
  ratings","4.01","389 pages","Published
        March 30th 2004
         by Anchor Books

            
              (first published April 22nd 2003)","Other books in the series","Fiction","null","Booker Prize Nominee (2003), Orange Prize Nominee for Fiction Shortlist (2004), Sunburst Award Nominee for Canadian Novel (2004), Scotiabank Giller Prize Nominee (2003), Grand Prix de l'Imaginaire Nominee for Roman étranger (2006)"
"1618238470-3014","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Ship Breaker (Ship Breaker, #1)","https://www.goodreads.com/book/show/7095831-ship-breaker","Ship Breaker","Paolo Bacigalupi","4,485
    reviews","43,650
  ratings","3.73","326 pages","Published
        May 1st 2010
         by Little, Brown Books for Young Readers","Other books in the series","Young Adult","New Orleans, Louisiana

(United States)","Locus Award for Best Young Adult Book (2011), Kurd-Laßwitz-Preis Nominee for Bestes ausländisches Werk (2013), Golden Duck Award Nominee for Young Adult (Hal Clement Award) (2011), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2010), Michael L. Printz Award (2011)
                      ...more
                          Rhode Island Teen Book Award Nominee (2012), Lincoln Award Nominee (2013), Andre Norton Award Nominee (2010), CYBILS Award Nominee for Young Adult Fantasy & Science Fiction (2010), National Book Award Finalist for Young People's Literature (2010), Missouri Gateway Readers Award Nominee (2013)
...less"
"1618238571-3388","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Man in the High Castle","https://www.goodreads.com/book/show/216363.The_Man_in_the_High_Castle","The Man in the High Castle","Philip K. Dick","12,097
    reviews","184,014
  ratings","3.62","259 pages","Published
        June 30th 1992
         by Vintage

            
              (first published October 1962)","null","Classics","null","Hugo Award for Best Novel (1963), Tähtivaeltaja Award (1993)"
"1618238470-3018","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Ship Breaker (Ship Breaker, #1)","https://www.goodreads.com/book/show/7095831-ship-breaker","Ship Breaker","Paolo Bacigalupi","4,485
    reviews","43,650
  ratings","3.73","326 pages","Published
        May 1st 2010
         by Little, Brown Books for Young Readers","Other books in the series","Adventure","New Orleans, Louisiana

(United States)","Locus Award for Best Young Adult Book (2011), Kurd-Laßwitz-Preis Nominee for Bestes ausländisches Werk (2013), Golden Duck Award Nominee for Young Adult (Hal Clement Award) (2011), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2010), Michael L. Printz Award (2011)
                      ...more
                          Rhode Island Teen Book Award Nominee (2012), Lincoln Award Nominee (2013), Andre Norton Award Nominee (2010), CYBILS Award Nominee for Young Adult Fantasy & Science Fiction (2010), National Book Award Finalist for Young People's Literature (2010), Missouri Gateway Readers Award Nominee (2013)
...less"
"1618238614-3557","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Cat's Cradle","https://www.goodreads.com/book/show/135479.Cat_s_Cradle","Cat's Cradle","Kurt Vonnegut Jr.","11,336
    reviews","348,319
  ratings","4.16","179 pages","Published
        1999
         by Penguin

            
              (first published 1963)","null","Humor","null","Hugo Award Nominee for Best Novel (1964)"
"1618238703-3891","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","The Maze Runner (The Maze Runner, #1)","https://www.goodreads.com/book/show/6186357-the-maze-runner","The Maze Runner","James Dashner","56,889
    reviews","1,135,857
  ratings","4.03","384 pages","Published
        October 6th 2009
         by Delacorte Press","Other books in the series","Mystery","null","Georgia Peach Book Award (2011), Utah Book Award Nominee for Young Adults (2009), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel  (2009), Charlotte Award (2012), Pennsylvania Young Readers' Choice Award Nominee (2011)
                      ...more
                          Evergreen Teen Book Award (2012), Milwaukee County Teen Book Award Nominee (2011), Lincoln Award (2012), Missouri Truman Readers Award (2012)
...less"
"1618238614-3558","https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction","Cat's Cradle","https://www.goodreads.com/book/show/135479.Cat_s_Cradle","Cat's Cradle","Kurt Vonnegut Jr.","11,336
    reviews","348,319
  ratings","4.16","179 pages","Published
        1999
         by Penguin

            
              (first published 1963)","null","Literature","null","Hugo Award Nominee for Best Novel (1964)"
